15:31:03.219 [main] INFO  attempt.Test - TargetClass:attempt.Test1
15:31:03.219 [main] INFO  attempt.Test - pool:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.219 [main] INFO  attempt.Test - ---------
15:31:03.221 [main] INFO  attempt.Test - mainMethod:javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V]
15:31:03.221 [main] INFO  attempt.Test - field:attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;
15:31:03.222 [main] INFO  attempt.Test - cc:javassist.CtClassType@13e39c73[changed public class attempt.Test1 fields=attempt.Test1.testString:Ljava/lang/String;, attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;,  constructors=javassist.CtConstructor@595b007d[public Test1 ()V], javassist.CtConstructor@72d1ad2e[static <clinit> ()V],  methods=javassist.CtMethod@2efd02[public f (I)I], javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V], ]
15:31:03.222 [main] INFO  attempt.Test - TargetClass:attempt.Test1
15:31:03.222 [main] INFO  attempt.Test - pool:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.222 [main] INFO  attempt.Test - ---------
15:31:03.236 [main] INFO  attempt.Test - mainMethod:javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V]
15:31:03.236 [main] INFO  attempt.Test - field:attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;
15:31:03.236 [main] INFO  attempt.Test - cc:javassist.CtClassType@13e39c73[changed public class attempt.Test1 fields=attempt.Test1.testString:Ljava/lang/String;, attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;,  constructors=javassist.CtConstructor@595b007d[public Test1 ()V], javassist.CtConstructor@72d1ad2e[static <clinit> ()V],  methods=javassist.CtMethod@2efd02[public f (I)I], javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V], ]
15:31:03.236 [main] INFO  attempt.Test - TargetClass:attempt.Test1
15:31:03.236 [main] INFO  attempt.Test - pool:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.236 [main] INFO  attempt.Test - ---------
15:31:03.239 [main] INFO  attempt.Test - mainMethod:javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V]
15:31:03.239 [main] INFO  attempt.Test - field:attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;
15:31:03.239 [main] INFO  attempt.Test - cc:javassist.CtClassType@13e39c73[changed public class attempt.Test1 fields=attempt.Test1.testString:Ljava/lang/String;, attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;,  constructors=javassist.CtConstructor@595b007d[public Test1 ()V], javassist.CtConstructor@72d1ad2e[static <clinit> ()V],  methods=javassist.CtMethod@2efd02[public f (I)I], javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V], ]
15:31:03.239 [main] INFO  attempt.Test - TargetClass:attempt.Test1
15:31:03.239 [main] INFO  attempt.Test - pool:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.240 [main] INFO  attempt.Test - ---------
15:31:03.242 [main] INFO  attempt.Test - mainMethod:javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V]
15:31:03.242 [main] INFO  attempt.Test - field:attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;
15:31:03.242 [main] INFO  attempt.Test - cc:javassist.CtClassType@13e39c73[changed public class attempt.Test1 fields=attempt.Test1.testString:Ljava/lang/String;, attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;,  constructors=javassist.CtConstructor@595b007d[public Test1 ()V], javassist.CtConstructor@72d1ad2e[static <clinit> ()V],  methods=javassist.CtMethod@2efd02[public f (I)I], javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V], ]
15:31:03.242 [main] INFO  attempt.Test - TargetClass:attempt.Test1
15:31:03.242 [main] INFO  attempt.Test - pool:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.242 [main] INFO  attempt.Test - ---------
15:31:03.244 [main] INFO  attempt.Test - mainMethod:javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V]
15:31:03.244 [main] INFO  attempt.Test - field:attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;
15:31:03.244 [main] INFO  attempt.Test - cc:javassist.CtClassType@13e39c73[changed public class attempt.Test1 fields=attempt.Test1.testString:Ljava/lang/String;, attempt.Test1.logger:Lorg/apache/logging/log4j/Logger;,  constructors=javassist.CtConstructor@595b007d[public Test1 ()V], javassist.CtConstructor@72d1ad2e[static <clinit> ()V],  methods=javassist.CtMethod@2efd02[public f (I)I], javassist.CtMethod@44a4fe33[public static main ([Ljava/lang/String;)V], ]
